BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
1,20210926,59482.94451,412.97,3.31,12.39,0.041,1.148,0.459,200,3.81,22.5,0.086,0.421
2,20210926,59482.94673,412.97,3.78,28.61,0.108,3.023,1.209,150,3.55,79.38,0.281,1.038
3,20210926,59482.94701,412.97,4.34,5.99,0.026,0.7278,0.2911,50,5.18,32.52,0.168,0.2071
4,20210926,59482.94712,412.97,2.7,7.41,0.02,0.5598,0.2239,100,3.54,20.05,0.071,0.1747
5,20210926,59482.94736,412.97,4.47,9.61,0.043,1.204,0.4814,100,4,38.02,0.152,0.374
6,20210926,59482.94758,412.97,2.85,10.89,0.031,0.8677,0.3471,150,3.17,22.96,0.073,0.2687
7,20210926,59482.94769,412.97,8.46,211.11,1.787,50.02,20.01,300,7.82,462.35,3.617,26.68
8,20210926,59482.95005,412.97,5.77,68.47,0.395,11.06,4.422,450,5.26,75.19,0.395,4.373
9,20210926,59482.95226,412.97,4.83,29.58,0.143,4.003,1.601,200,4.79,67.06,0.322,1.581
10,20210926,59482.95326,412.97,5.96,38.59,0.23,6.438,2.575,150,5.3,104.79,0.556,2.049
11,20210926,59482.95326,412.97,5.88,62.74,0.369,10.33,4.131,350,4.09,123.75,0.507,4.36
12,20210926,59482.95355,412.97,4.81,6.24,0.03,0.8397,0.3359,100,2.97,31.24,0.093,0.2284
13,20210926,59482.95379,412.97,3.12,6.4,0.02,0.5598,0.2239,100,1.73,26.89,0.046,0.1142
14,20210926,59482.95569,412.97,3.71,30.7,0.114,3.191,1.276,300,3.42,49.57,0.169,1.249
15,20210926,59482.95927,412.97,6.77,227.02,1.537,43.02,17.21,400,6.1,290.64,1.773,17.44
16,20210926,59482.96155,412.97,14.39,375.59,5.403,151.2,60.49,350,12.42,584.6,7.262,62.49
17,20210926,59482.96157,412.97,2.7,8.13,0.022,0.6158,0.2463,150,2.82,22.93,0.065,0.2385
18,20210926,59482.96238,412.97,8.69,14.73,0.128,3.583,1.433,250,7.76,28.63,0.222,1.366
19,20210926,59482.96311,412.97,6.23,10.11,0.063,1.763,0.7054,150,5.42,26.2,0.142,0.524
